SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,Trachea
29,MODEL1,PARMS,Trachea,1.5496751,4.762508292,0.468080151,-0.89695618,1.819965866,0.196618717,0.447210352,-1.286748694,1.296545039,-2.087024719,3.48975951,-1
30,MODEL1,PARMS,Trachea,1.463449502,8.397911735,0.413574119,-0.971276968,2.457888035,-0.176070619,2.464676695,-5.134122435,1.979592748,-5.121160381,10.24080201,-1
31,MODEL1,PARMS,Trachea,1.454339484,27.52498678,0.639084765,-1.354664787,4.007906442,-1.584701736,4.91503601,-9.578968507,2.384051736,-4.799636846,8.051360867,-1
32,MODEL1,PARMS,Trachea,1.641609535,15.45500206,0.333780976,-0.142074036,-1.78877882,-0.520924921,1.875089859,-3.08627451,1.603860538,-4.178671483,7.964073281,-1
33,MODEL1,PARMS,Trachea,1.387947018,3.873882885,0.463433405,-0.895181254,2.338816899,0.297046967,-0.225937413,0.369185206,1.126306211,-1.446728281,2.159418444,-1
34,MODEL1,PARMS,Trachea,1.412492402,-0.263816446,0.841906555,-1.957060804,6.821915993,0.452105121,-2.742488028,7.799834466,1.099398316,-0.23785866,-1.138083581,-1
35,MODEL1,PARMS,Trachea,1.593934156,7.806386157,0.541648509,-0.838978737,3.027953848,-0.229932942,2.235434589,-4.893441917,2.009522455,-3.319968207,5.536066695,-1
36,MODEL1,PARMS,Trachea,1.496716958,-3.576950936,0.683193512,-1.268113696,3.241656895,0.470510439,-0.068328481,0.336251633,2.251381294,-4.251088267,6.340661658,-1
37,MODEL1,PARMS,Trachea,1.490710499,14.84863938,0.622169076,-1.434640794,4.624453284,-0.753033368,4.452030462,-10.26514867,2.30493045,-4.672248303,8.106300602,-1
38,MODEL1,PARMS,Trachea,1.659185704,15.61618356,0.376331955,-0.39858327,-0.83129074,-0.395515828,2.326016808,-4.135600054,0.913377517,-2.158334561,3.878117978,-1
39,MODEL1,PARMS,Trachea,1.689508744,26.04788604,0.437257254,0.059993238,-2.5805804,-1.311194069,6.726086164,-14.22957087,1.724769814,-5.003838473,9.229226099,-1
40,MODEL1,PARMS,Trachea,1.400166358,1.68896136,0.718718489,-1.546633196,5.503270594,0.326251963,-0.726705306,1.53566585,1.202900366,-0.259079969,-1.279767841,-1
41,MODEL1,PARMS,Trachea,1.372173222,5.675440055,0.329075478,-0.792347321,2.693259705,0.240274682,1.669986,-4.436921923,0.921552747,-1.013174474,1.384217445,-1
42,MODEL1,PARMS,Trachea,1.515709306,4.268417744,0.690799524,-1.722474861,5.988187234,0.185493394,0.169285496,-0.301971748,1.172693995,-1.144631906,1.406411848,-1
43,MODEL1,PARMS,Trachea,1.29444589,6.525455052,0.146935402,0.072240827,-0.522165247,0.289925464,1.657465398,-4.612601241,0.693023968,-0.842293152,0.900726242,-1
44,MODEL1,PARMS,Trachea,1.567870593,17.30320052,0.299559349,-0.071968126,-1.388499757,-0.544429382,2.322293786,-4.325466161,0.946424696,0.539849434,-2.955394682,-1
45,MODEL1,PARMS,Trachea,1.450580264,13.74332275,0.482027337,-0.666175073,1.201947826,-0.390156225,2.355319465,-4.284431979,1.159599712,-1.219699486,1.012214456,-1
46,MODEL1,PARMS,Trachea,1.537075886,2.234915799,0.091522337,-0.006948697,-0.651215623,0.284584892,0.308042082,-0.692670086,2.234475825,-5.426509087,9.948431047,-1
47,MODEL1,PARMS,Trachea,1.487584156,7.804325185,0.188921351,0.191928584,-2.389862787,-0.117868881,0.59055339,-0.80517927,2.079810098,-2.981477747,4.514437101,-1
48,MODEL1,PARMS,Trachea,1.362542205,2.002420251,0.623120163,-1.417011126,4.374281095,0.256746633,-1.022565782,3.092748894,1.707656444,-3.499689169,6.498510236,-1
49,MODEL1,PARMS,Trachea,1.535436104,25.10350052,0.428473398,-0.545841157,0.572217833,-1.170467235,4.060064294,-8.120243498,1.440223538,-2.447583238,3.890044378,-1
50,MODEL1,PARMS,Trachea,1.241110689,10.34938903,0.210617824,-0.440814445,1.732395766,-0.010140642,1.628519337,-3.796097448,0.777892906,-0.30679387,-0.072718489,-1
51,MODEL1,PARMS,Trachea,1.506490983,19.4057358,0.22196525,-0.260887369,-0.53773755,-0.724885384,2.543278304,-5.724298334,1.475032972,-2.159754633,3.498471278,-1
52,MODEL1,PARMS,Trachea,1.61614822,8.389051596,0.43874073,-0.855354889,2.487128713,-0.194075496,1.879897125,-3.708653494,1.949846978,-2.584906128,3.249419471,-1
53,MODEL1,PARMS,Trachea,1.406552401,8.513250987,0.307592235,-0.555528815,1.219793539,-0.065574311,0.462989103,-0.659029958,1.614995005,-2.755551949,4.423855014,-1
54,MODEL1,PARMS,Trachea,1.529806823,20.6223054,0.187267761,-0.658148927,1.604471134,-0.804637572,2.291726968,-4.102136222,1.581833251,-2.246913245,3.148033203,-1
55,MODEL1,PARMS,Trachea,1.523155579,8.527793369,0.359531236,-0.614489107,2.506086389,-0.212780863,2.204970694,-4.780724693,2.053437116,-4.040005698,7.119843944,-1
56,MODEL1,PARMS,Trachea,1.466899186,20.67310521,0.578904934,-0.832415068,1.905685078,-0.909134428,3.875719933,-7.726394348,1.286374169,-1.944427489,2.785792258,-1
57,MODEL1,PARMS,Trachea,1.535566297,5.09952829,0.295730783,-0.498532458,1.667315407,0.198333781,-0.659865783,2.089741863,1.422964881,-2.489446132,4.103091292,-1
58,MODEL1,PARMS,Trachea,1.757186259,38.36181918,0.456217868,-1.04441134,1.400210221,-1.92380001,6.480170304,-14.0361364,0.948990227,-0.50533487,0.245125262,-1
59,MODEL1,PARMS,Trachea,1.54984851,9.94648512,0.226326926,-0.191679994,-0.825098082,-0.078940701,0.80777386,-0.980358465,1.30526537,-1.452856959,1.557206713,-1
60,MODEL1,PARMS,Trachea,1.293688431,6.85571612,0.63328234,-1.77043877,6.563416726,-0.057263682,1.248859909,-2.019730934,1.55471238,-2.352402386,3.473940733,-1
61,MODEL1,PARMS,Trachea,1.510353351,12.59591268,0.460829784,-0.283632162,-1.272652045,-0.309328424,2.270901955,-4.627428503,1.133472338,-2.515749927,4.960357506,-1
62,MODEL1,PARMS,Trachea,1.554433419,19.19785947,0.539976747,-0.83201263,1.581180284,-0.731651228,2.391288573,-4.089939063,0.953310115,-0.579627986,0.063139647,-1
63,MODEL1,PARMS,Trachea,1.405055732,11.80981027,0.652361127,-1.182114891,3.678059748,-0.267018234,1.569727304,-3.249048837,0.899961237,-0.309563815,-0.375865577,-1
64,MODEL1,PARMS,Trachea,1.507802794,15.59000405,0.178804228,0.103511515,-0.609391546,-0.622363674,2.815036371,-6.073718685,2.06627396,-3.487261576,5.613162094,-1
65,MODEL1,PARMS,Trachea,1.504797615,2.693678306,0.491201102,-1.098699935,4.442865268,0.247666106,-1.623237357,4.798287026,1.653452287,-1.892512134,1.999059331,-1
66,MODEL1,PARMS,Trachea,1.427629169,7.030694062,0.826625313,-1.762813152,5.44132523,-0.086067562,0.248558654,-0.091835753,1.466062074,-2.408963774,4.117724149,-1
67,MODEL1,PARMS,Trachea,1.405247433,19.02370402,0.364038426,-0.460686532,0.557685788,-0.828206654,3.164868163,-6.589567336,1.813213525,-4.025792342,7.980956322,-1
68,MODEL1,PARMS,Trachea,1.645769837,12.13662316,0.569167848,-1.02351338,2.26701939,-0.33243207,-0.397697246,3.102650958,1.348112852,-0.837814561,-0.198234429,-1
69,MODEL1,PARMS,Trachea,1.350214235,8.287506965,0.343061072,-0.709345457,2.156186961,-0.008458905,1.691786813,-3.677847706,1.290227074,-1.938065563,3.071184167,-1
70,MODEL1,PARMS,Trachea,1.36474255,14.54179114,0.486304356,-0.972794784,2.988411913,-0.361166294,0.296920331,0.827096886,0.796593813,1.671043904,-5.312762748,-1
71,MODEL1,PARMS,Trachea,1.479499467,17.98199485,0.524876511,-1.044311491,3.181224931,-0.830833594,4.692519846,-10.7991608,1.856666281,-3.398530369,5.650093964,-1
72,MODEL1,PARMS,Trachea,1.498421108,11.90469934,0.524928729,-0.988261669,2.867261695,-0.514674253,1.911121461,-3.710983006,2.293304378,-5.016923396,9.289181437,-1
73,MODEL1,PARMS,Trachea,1.522624367,22.37036481,0.400660342,-0.857973069,2.918977651,-0.999384133,5.479412505,-11.50002213,1.416692311,-1.504088109,1.493448637,-1
74,MODEL1,PARMS,Trachea,1.580672849,3.798074027,0.386129629,-0.809969921,2.658208325,0.182932211,0.628999669,-1.783141402,1.699722757,-3.135512158,5.51906626,-1
75,MODEL1,PARMS,Trachea,1.413791844,5.909359728,0.85663874,-1.794049438,5.886429949,0.060388434,1.236041839,-3.480269768,0.912145797,-0.378184695,0.037896191,-1
76,MODEL1,PARMS,Trachea,1.802886249,9.204106561,-0.025809625,0.713520517,-4.281551116,0.131843394,-1.393829218,4.885555532,1.036821728,-2.792432435,5.512668089,-1
77,MODEL1,PARMS,Trachea,1.244123432,11.1695618,0.356745687,-0.558078649,0.959154057,-0.212669172,1.178597186,-2.494211357,1.406743004,-2.948170102,5.797178742,-1
78,MODEL1,PARMS,Trachea,1.488721556,18.09949689,0.391638606,-0.684461337,1.338830731,-0.756807391,4.857696312,-11.55292306,1.668774825,-4.122487592,8.507718197,-1
79,MODEL1,PARMS,Trachea,1.532379623,11.43728411,0.440255632,-0.803362758,1.285632719,-0.314439896,1.356243091,-2.732639668,1.727384264,-3.65564741,6.439742362,-1
80,MODEL1,PARMS,Trachea,1.44997945,15.20410595,0.569217223,-1.621838563,5.834786729,-0.548840004,2.81571452,-5.834177096,1.430743223,-2.074323993,2.950356443,-1
81,MODEL1,PARMS,Trachea,1.427942155,9.614573395,0.537872373,-1.402591349,4.866118554,-0.250415779,1.847193764,-4.37619458,1.849624072,-3.429818683,5.789847232,-1
82,MODEL1,PARMS,Trachea,1.499743626,19.07925174,0.17388524,-0.085789185,-1.374713819,-0.669818017,1.146123408,-0.844915156,1.469918368,-2.691436085,4.319335611,-1
83,MODEL1,PARMS,Trachea,1.290799831,20.76414254,0.876781848,-1.906249845,5.813789056,-1.020806496,4.158629752,-8.921399199,1.400051658,-1.99943563,2.996257405,-1
84,MODEL1,PARMS,Trachea,1.389562695,14.57166899,0.514347501,-1.006595192,3.174580993,-0.501334148,3.044481483,-5.764660075,1.29923812,-1.198190447,0.731738829,-1
85,MODEL1,PARMS,Trachea,1.474849474,-0.047849323,0.425694803,-0.756188922,2.824094624,0.415828744,-0.213934989,1.489609281,1.797656377,-3.888099941,6.396775788,-1
86,MODEL1,PARMS,Trachea,1.391109935,11.71151454,0.145585802,-0.276191089,0.829558485,-0.092315105,1.77129068,-5.166429866,0.937540236,-1.231148453,2.351377825,-1
87,MODEL1,PARMS,Trachea,1.359099614,9.763133208,0.487145399,-0.949848636,2.953119359,-0.205933857,1.233967346,-2.044589733,1.446404661,-1.052089624,0.386915914,-1
88,MODEL1,PARMS,Trachea,1.596019958,-5.575663388,0.750171632,-1.850340525,7.119738844,0.746504013,-1.84128292,4.014243505,1.43244397,-1.103046711,0.653126339,-1
89,MODEL1,PARMS,Trachea,1.653587873,18.3999269,0.693329652,-1.588058783,5.52555133,-0.728621263,2.440172143,-4.152782153,1.074704383,-0.56532045,-0.526902033,-1
90,MODEL1,PARMS,Trachea,1.290074727,6.060067293,0.509362736,-0.543875251,1.369135013,0.165607008,0.252559938,-0.399123063,0.85311136,-0.903204436,1.368323766,-1
91,MODEL1,PARMS,Trachea,1.354555375,9.555484168,0.414507152,-1.135817662,3.871909285,-0.028605559,0.354825462,-0.263848656,0.953816935,0.089016697,-2.094086756,-1
92,MODEL1,PARMS,Trachea,1.699399404,23.02423078,0.420265986,-0.738333994,0.877326025,-1.141806899,4.423527293,-9.035382097,1.947128015,-4.364990138,7.945968603,-1
93,MODEL1,PARMS,Trachea,1.724490527,22.11216222,0.343187494,-0.405434728,-0.10856323,-0.734176892,1.987692491,-4.473558941,0.5069247,0.756006557,-1.70871934,-1
94,MODEL1,PARMS,Trachea,1.452811825,5.596902321,0.474315995,-0.924150523,2.673075892,-0.001585644,0.957353521,-2.367483217,1.934776622,-3.744187015,6.300794104,-1
95,MODEL1,PARMS,Trachea,1.455771457,1.700689422,0.540886681,-1.06557251,2.833165903,0.220818363,-0.208491901,1.03906867,2.03160445,-4.162822227,7.141543539,-1
96,MODEL1,PARMS,Trachea,1.386145045,12.51928455,0.57576653,-1.215641116,3.976947184,-0.424576972,3.34393516,-8.395693871,1.551308098,-2.477605026,4.196237927,-1
97,MODEL1,PARMS,Trachea,1.487703882,14.54829062,0.059483441,-0.240714482,1.054068274,-0.425334917,1.764674802,-3.327920987,1.77374035,-3.056872139,5.133649187,-1
98,MODEL1,PARMS,Trachea,1.464943262,-5.150880279,0.588301601,-1.089711382,3.356835817,0.745931606,-0.424071837,0.139858328,1.494602872,-2.655427599,4.670497364,-1
99,MODEL1,PARMS,Trachea,1.336111153,5.666994145,0.542290378,-0.729920478,1.645344671,0.098981054,0.576611369,-1.598884935,1.274845541,-2.10617935,3.524541251,-1
100,MODEL1,PARMS,Trachea,1.571477629,7.483741975,0.825606195,-1.751622033,4.841861426,-0.206794306,0.543587021,-0.46434059,1.820820899,-3.131277627,5.479405028,-1
101,MODEL1,PARMS,Trachea,1.438955076,11.91919044,0.600494008,-1.02680511,3.428020823,-0.286753669,1.60392611,-3.016898124,0.986758059,0.716455765,-3.290611226,-1
102,MODEL1,PARMS,Trachea,1.461557754,15.57275525,0.699479241,-1.174109788,4.096689883,-0.75214571,3.768240707,-7.704084504,1.776608321,-1.728927519,1.518601113,-1
103,MODEL1,PARMS,Trachea,1.76995933,24.31679721,0.170571345,0.222401025,-3.348575576,-0.891051884,3.588308854,-7.413918723,0.762999819,0.006467001,-1.624323102,-1
104,MODEL1,PARMS,Trachea,1.416441331,-5.834538748,0.443082118,-0.833250344,2.126042287,0.811090979,-0.95459853,1.093340216,1.699725575,-3.090757877,5.386756421,-1
105,MODEL1,PARMS,Trachea,1.417842166,6.0689534,0.31465444,-0.468816171,1.293436187,0.092238737,0.940721999,-1.794835816,1.530375334,-3.482835167,6.809191515,-1
106,MODEL1,PARMS,Trachea,1.332433691,8.049114193,0.641271867,-1.07381118,3.200717274,-0.194462909,1.259943248,-1.876961377,1.713077359,-1.555761395,1.06193104,-1
107,MODEL1,PARMS,Trachea,1.41678299,14.39641456,0.524964114,-1.167971374,3.575992917,-0.457259497,3.354305065,-7.878543712,1.23281312,-1.517155985,1.990061813,-1
108,MODEL1,PARMS,Trachea,1.62372491,2.048761538,0.539556956,-1.412718796,5.264527971,0.259539645,0.278492988,-1.399932883,1.726894836,-2.536442651,4.235235601,-1
109,MODEL1,PARMS,Trachea,1.415152372,17.57802527,0.310143937,-0.926015003,2.814966496,-0.597647267,2.416622162,-4.994003874,1.374651448,-2.152440085,3.502484316,-1
110,MODEL1,PARMS,Trachea,1.667653711,19.88828977,0.630732851,-1.249494984,3.058396629,-0.782135198,2.481334278,-4.020147747,0.934985094,-0.298196066,-0.896987859,-1
111,MODEL1,PARMS,Trachea,1.466629245,11.0243332,0.457554015,-0.928389353,2.696346076,-0.303251763,2.336538596,-5.549051775,1.694281367,-3.969295281,7.96177815,-1
112,MODEL1,PARMS,Trachea,1.524676561,12.1718887,0.523130171,-1.207023511,2.711118015,-0.373706225,1.279577647,-2.072351141,1.758705426,-3.659847933,6.387754399,-1
113,MODEL1,PARMS,Trachea,1.491121818,20.24598138,0.464692177,-1.027363113,3.123622938,-0.888822333,2.513868642,-4.285573731,1.675722263,-3.506402097,6.448281453,-1
114,MODEL1,PARMS,Trachea,1.423878576,6.295767046,0.41165462,-1.04360217,3.836189652,0.022864637,2.389266849,-6.665115742,1.673983279,-4.002571375,8.253103941,-1
115,MODEL1,PARMS,Trachea,1.458729307,7.199714681,0.586907184,-1.070751127,3.363067955,-0.111563839,0.136283881,1.188389643,1.677585521,-1.297206252,0.61568353,-1
116,MODEL1,PARMS,Trachea,1.390811554,12.93618928,0.120054992,0.084682906,-0.683617861,-0.25660738,0.72853393,-0.371658317,1.319335416,-1.505911973,2.173199676,-1
117,MODEL1,PARMS,Trachea,1.621925962,32.95164088,0.371871603,-0.474796614,-0.518014162,-1.723529013,4.987972,-9.515524773,1.860590755,-5.520853161,11.07366336,-1
118,MODEL1,PARMS,Trachea,1.51041383,12.01797939,0.419857852,-1.269079241,4.036986014,-0.331800929,2.19298383,-4.17777761,1.725635492,-4.476022095,8.655323567,-1
119,MODEL1,PARMS,Trachea,1.512486337,19.54585868,0.786719411,-1.591286658,4.653818971,-0.890825841,2.817951911,-5.544964882,1.332847308,-0.675473974,-0.358364789,-1
120,MODEL1,PARMS,Trachea,1.625736782,21.35587971,0.375002089,-0.381730625,-1.071801928,-1.012129361,3.577555971,-6.798504599,2.017755592,-5.146349505,9.897719342,-1
121,MODEL1,PARMS,Trachea,1.393711151,18.3993515,0.600801162,-0.815443161,1.795599802,-0.7414008,3.856442328,-8.772486179,1.193694284,-1.681295202,1.991750472,-1
122,MODEL1,PARMS,Trachea,1.427340166,8.646370496,0.68942987,-1.141847696,3.045967695,-0.253964809,0.708753667,-0.032876946,1.880973014,-3.765576068,6.390545124,-1
123,MODEL1,PARMS,Trachea,1.32078414,22.24929647,0.122476577,-0.649176018,2.520268679,-1.021441638,4.498462443,-9.28869927,2.116104122,-4.952800709,9.171563325,-1
124,MODEL1,PARMS,Trachea,1.360361416,9.392261234,0.90550586,-1.934394011,6.175979585,-0.322511956,0.995974604,-1.421728534,1.620380148,-2.639278239,4.207094787,-1
125,MODEL1,PARMS,Trachea,1.345419601,10.81542273,0.336338568,-0.416987021,1.261930629,-0.258971108,2.796924584,-6.659972688,1.547418712,-2.151442892,3.162974945,-1
126,MODEL1,PARMS,Trachea,1.601965007,6.935903539,0.750542998,-1.164403352,1.715043341,-0.156296346,1.424555989,-3.179013618,1.920090325,-4.760709374,8.90402836,-1
127,MODEL1,PARMS,Trachea,1.422562654,12.07323899,0.596086384,-1.242229374,3.8045075,-0.396116156,1.958527152,-2.866611922,1.595105798,-2.775626426,3.985039307,-1
128,MODEL1,PARMS,Trachea,1.50625016,8.802008169,0.5652542,-1.115884896,3.256197305,-0.09639552,1.447360959,-3.045320747,1.215043184,-1.182845141,0.961175432,-1
129,MODEL1,PARMS,Trachea,1.805211705,15.8561755,0.011278214,0.215144111,-2.713818323,-0.437808079,0.990102163,-0.975997226,1.597433226,-3.339021061,5.852772947,-1
130,MODEL1,PARMS,Trachea,1.511079676,2.847952931,0.569883792,-0.818318106,0.693944587,0.126196727,0.480900957,-1.512072246,2.099850851,-4.642064708,8.692287391,-1
131,MODEL1,PARMS,Trachea,1.578143414,24.3627793,0.014908148,0.019287048,-0.446563343,-1.225801762,4.938795881,-10.86027595,2.540064192,-5.505880547,9.908893351,-1
132,MODEL1,PARMS,Trachea,1.449491308,10.02274673,0.274857299,-0.278056301,-0.061001141,-0.211403575,1.07880053,-1.850482899,1.853146292,-3.64928048,6.313573841,-1
133,MODEL1,PARMS,Trachea,1.508672034,3.851081941,0.742453148,-1.686623518,5.534283336,0.151081262,-0.083950362,-0.270024704,1.401347649,-2.017501013,3.37155271,-1
134,MODEL1,PARMS,Trachea,1.485087117,13.1045561,0.591664752,-1.301760028,4.225190318,-0.344321493,1.473526982,-2.978478113,0.964756086,-0.226412522,-0.352001435,-1
135,MODEL1,PARMS,Trachea,1.470796837,8.992585773,0.84163924,-1.65940648,5.580836873,-0.246118194,1.503308012,-3.361093618,1.3233218,0.410676173,-3.01933987,-1
136,MODEL1,PARMS,Trachea,1.647222007,19.71849442,0.13488901,0.154805046,-2.756927324,-0.881976193,2.924338085,-5.47822135,2.259988454,-6.491248395,13.27646831,-1
137,MODEL1,PARMS,Trachea,1.311825368,18.59992314,0.460501184,-1.012259024,2.86547256,-0.802731812,3.473326659,-7.368078979,1.599560233,-2.025030659,2.803485377,-1
138,MODEL1,PARMS,Trachea,1.404596971,11.11885786,0.445150219,-1.376587566,5.03898874,-0.314837347,2.500836901,-6.566308468,1.821023192,-4.416115987,8.748176799,-1
139,MODEL1,PARMS,Trachea,1.359472372,7.526137003,0.393892091,-0.627572801,1.906170266,-0.131721045,2.897441905,-6.882247166,1.878829554,-3.665253837,6.477204396,-1
140,MODEL1,PARMS,Trachea,1.418396224,-4.319885016,0.544041427,-1.19435926,4.419599873,0.57039548,-0.537614994,0.343234655,2.152433115,-4.118723783,7.145339247,-1
141,MODEL1,PARMS,Trachea,1.578367458,8.072094105,0.443075608,-0.60741317,0.7991519,-0.013375583,-0.149840135,1.040983021,1.224964926,-1.160423903,1.27807034,-1
142,MODEL1,PARMS,Trachea,1.56794125,13.48991692,0.690849401,-1.634026502,4.96101053,-0.401219171,1.993470341,-4.459486513,1.161457881,-1.988942723,3.259959623,-1
143,MODEL1,PARMS,Trachea,1.620948694,6.432078073,0.025150139,0.329258315,-3.989813431,0.254134181,-0.060709353,0.258164037,1.317250513,-4.263999121,8.525721482,-1
144,MODEL1,PARMS,Trachea,1.392799616,7.55839098,0.693102621,-1.249987949,3.419565991,-0.183269394,1.170012113,-2.694232617,1.783099812,-3.090868414,5.265282822,-1
145,MODEL1,PARMS,Trachea,1.422127974,18.48892198,0.548922709,-0.641157726,1.211085973,-0.868042047,4.340127225,-9.390035252,1.765449753,-2.799027059,4.057413719,-1
146,MODEL1,PARMS,Trachea,1.425681066,7.935994438,0.609297701,-0.840725657,1.301874418,-0.168259616,1.080009241,-2.640210278,1.709868764,-2.46839438,4.286634727,-1
147,MODEL1,PARMS,Trachea,1.535971351,3.286046905,0.319235936,-0.399638022,0.937174179,0.279227986,1.532707623,-3.63454175,1.499233674,-3.114942763,5.228275673,-1
148,MODEL1,PARMS,Trachea,1.493990062,16.01496222,0.233622548,-0.248571628,1.401552947,-0.571395185,4.399948946,-10.07499964,1.523139486,-2.636809503,4.553756156,-1
149,MODEL1,PARMS,Trachea,1.349499716,17.2136191,0.483380999,-1.438564036,5.057374212,-0.557962042,1.524405983,-2.829909269,1.010110772,-0.948862764,1.481182343,-1
150,MODEL1,PARMS,Trachea,1.413141548,12.93703732,0.706764839,-1.323214529,4.209187294,-0.446322002,1.141536201,-1.997667682,1.352745594,-0.825528421,0.191183961,-1
151,MODEL1,PARMS,Trachea,1.440338021,9.636010844,0.048804733,-0.379468704,1.933456856,-0.047707248,0.768913907,-0.42174387,1.521952535,-1.898343889,1.907612621,-1
